Layer Number,Layer Name VGGFace2,Layer Name ImageNet/Scratch
1,conv1/7x7_s2,conv1
2,conv2_1_1x1_reduce,res2a_branch2a
3,conv2_1_3x3,res2a_branch2b
4,conv2_1_1x1_increase,res2a_branch2c
5,conv2_1_1x1_proj,res2a_branch1
6,conv2_2_1x1_reduce,res2b_branch2a
7,conv2_2_3x3,res2b_branch2b
8,conv2_2_1x1_increase,res2b_branch2c
9,conv2_3_1x1_reduce,res2c_branch2a
10,conv2_3_3x3,res2c_branch2b
11,conv2_3_1x1_increase,res2c_branch2c
12,conv3_1_1x1_reduce,res3a_branch2a
13,conv3_1_3x3,res3a_branch2b
14,conv3_1_1x1_increase,res3a_branch2c
15,conv3_1_1x1_proj,res3a_branch1
16,conv3_2_1x1_reduce,res3b_branch2a
17,conv3_2_3x3,res3b_branch2b
18,conv3_2_1x1_increase,res3b_branch2c
19,conv3_3_1x1_reduce,res3c_branch2a
20,conv3_3_3x3,res3c_branch2b
21,conv3_3_1x1_increase,res3c_branch2c
22,conv3_4_1x1_reduce,res3d_branch2a
23,conv3_4_3x3,res3d_branch2b
24,conv3_4_1x1_increase,res3d_branch2c
25,conv4_1_1x1_reduce,res4a_branch2a
26,conv4_1_3x3,res4a_branch2b
27,conv4_1_1x1_increase,res4a_branch2c
28,conv4_1_1x1_proj,res4a_branch1
29,conv4_2_1x1_reduce,res4b_branch2a
30,conv4_2_3x3,res4b_branch2b
31,conv4_2_1x1_increase,res4b_branch2c
32,conv4_3_1x1_reduce,res4c_branch2a
33,conv4_3_3x3,res4c_branch2b
34,conv4_3_1x1_increase,res4c_branch2c
35,conv4_4_1x1_reduce,res4d_branch2a
36,conv4_4_3x3,res4d_branch2b
37,conv4_4_1x1_increase,res4d_branch2c
38,conv4_5_1x1_reduce,res4e_branch2a
39,conv4_5_3x3,res4e_branch2b
40,conv4_5_1x1_increase,res4e_branch2c
41,conv4_6_1x1_reduce,res4f_branch2a
42,conv4_6_3x3,res4f_branch2b
43,conv4_6_1x1_increase,res4f_branch2c
44,conv5_1_1x1_reduce,res5a_branch2a
45,conv5_1_3x3,res5a_branch2b
46,conv5_1_1x1_increase,res5a_branch2c
47,conv5_1_1x1_proj,res5a_branch1
48,conv5_2_1x1_reduce,res5b_branch2a
49,conv5_2_3x3,res5b_branch2b
50,conv5_2_1x1_increase,res5b_branch2c
51,conv5_3_1x1_reduce,res5c_branch2a
52,conv5_3_3x3,res5c_branch2b
53,conv5_3_1x1_increase,res5c_branch2c
